E_1,Pu1_1,Pu2_1,E_hybrid_1,seedEbest_1,seedNumber_3,pumin1_4u,pumin1_4d,pumin5_8d
-19.68,0.000795306,0.000795306,-28.08,-4.54,4.0,0.3660337,0.1169967,0.1278706
-16.51,0.000166573,0.00386229,-24.9,-5.46,0.0,0.8608943,0.02207435,0.3105178
-16.05,3.86324e-05,1.08013e-05,-28.76,-5.39,0.0,0.02207435,0.09037576,0.1055175
-19.34,4.85993e-06,8.5861e-05,-32.05,-7.37,4.0,0.05907892,0.09037576,0.565196
-17.3,0.000155627,0.000616367,-26.81,-5.31,4.0,0.09037576,0.323768,0.3135178
-13.93,0.00037021,3.15139e-07,-27.39,-3.54,2.0,0.03524615,0.1718275,0.3978761
-16.1,9.67061e-05,1.89236e-05,-27.94,-2.24,4.0,0.1718275,0.3978761,0.3446844
-15.1,1.51729e-05,5.20174e-06,-28.79,-4.23,4.0,0.09202562,0.008011728,0.04701994
-19.92,0.000101764,0.011076,-27.98,-7.46,0.0,0.008011728,0.04701994,0.9519376
-17.03,0.0334244,0.473472,-19.47,-7.69,0.0,0.04701994,0.9519376,0.1739889
-16.43,0.000438779,4.03138e-06,-28.29,-4.4,0.0,0.4942838,0.6572304,0.2086186
-13.62,0.0363883,0.00465609,-18.73,-4.38,4.0,0.6572304,0.2086186,0.3447933
-16.44,0.00903293,0.00182868,-22.92,-7.37,4.0,0.3649547,0.2479478,0.3798568
-22.25,0.00167973,2.32096e-07,-35.0,-7.66,0.0,0.3447933,0.2611551,0.4185226
-21.69,0.00156936,3.09829e-07,-34.31,-7.32,0.0,0.3798568,0.4185226,0.4439026
-19.67,1.41759e-05,2.65826e-05,-32.44,-5.1,4.0,0.07516629,0.1266541,0.2018245
-21.69,6.43193e-05,0.00165143,-31.14,-4.83,4.0,0.1266541,0.1025629,0.04937283
-24.06,6.76832e-05,0.0027966,-33.17,-5.07,4.0,0.1486218,0.04937283,0.06643466
-17.86,1.46659e-05,0.000334326,-29.12,-5.67,2.0,0.04937283,0.06643466,0.6961292
-18.24,2.6361e-06,0.00011858,-31.12,-5.36,0.0,0.2562725,0.05402559,0.1518505
-18.62,3.34408e-06,8.5861e-05,-31.55,-5.68,0.0,0.6961292,0.1343243,0.09350138
-16.66,1.76801e-05,9.67061e-05,-28.54,-4.42,1.0,0.1343243,0.06275478,0.8589863
-17.99,5.90804e-05,1.10815e-06,-31.79,-4.34,2.0,0.04359102,0.0775376,0.05079077
-20.96,6.21702e-05,2.99403e-05,-32.79,-4.88,4.0,0.3129836,0.05079077,0.2025735
-17.46,0.00367033,8.16138e-07,-29.01,-6.39,0.0,0.5400391,0.1114454,0.1141036
-21.92,0.000637674,0.0017378,-29.99,-4.14,4.0,0.05079077,0.2025735,0.3415313
-14.48,0.00102619,1.78376e-08,-29.03,-3.09,4.0,0.3666307,0.1717028,0.02934814
-15.51,0.000469639,2.32096e-07,-29.01,-3.82,4.0,0.1717028,0.02231447,0.7694734
-20.24,7.24435e-05,1.50464e-06,-33.74,-5.68,0.0,0.06961165,0.1043367,0.08906671
-19.97,1.56974e-05,1.94146e-06,-34.22,-6.46,0.0,0.08185012,0.08906671,0.1243308
-22.2,1.89236e-05,5.20174e-06,-35.76,-4.6,0.0,0.1043367,0.1107493,0.2676053
-17.78,2.75016e-05,8.66043e-06,-30.82,-2.03,4.0,0.6458936,0.05393913,0.04690786
-15.06,4.50272e-07,0.000150427,-28.84,-4.58,4.0,0.8992728,0.04690786,0.01310356
-9.17,0.113606,0.037012,-12.39,-2.34,4.0,0.2345881,0.4043132,0.3513244
-16.45,0.0190781,0.000181344,-23.85,-2.74,2.0,0.3513244,0.2285956,0.2548537
-16.66,0.00136988,0.00231982,-24.11,-5.32,4.0,0.3513244,0.2285956,0.05286382
-13.98,0.000469639,2.06068e-07,-27.55,-5.38,4.0,0.2285956,0.05286382,0.6537786
-15.62,3.54856e-05,5.80992e-07,-30.1,-2.34,4.0,0.5995871,0.1253637,0.1023797
-18.83,5.20174e-06,4.3512e-05,-31.9,-4.21,4.0,0.1253637,0.01915905,0.07003431
-18.06,4.6987e-08,5.20174e-06,-35.15,-2.08,2.0,0.01915905,0.05409078,0.002686658
-8.51,1.92479e-05,2.56944e-05,-21.12,-4.31,1.0,0.1778598,0.2826416,
-5.34,4.13495e-05,0.903071,-11.34,-1.01,4.0,0.07880255,,
-24.63,0.000880668,0.00788481,-31.62,-7.23,4.0,0.7110354,0.3859463,0.3091715
-16.88,0.011076,0.0019573,-23.2,-4.73,4.0,0.6252395,0.3660337,0.09905933
-12.8,4.06528e-05,6.886e-07,-27.1,-3.76,0.0,0.02207435,0.3105178,0.09037576
-15.55,0.00011858,6.06279e-08,-30.65,-3.7,2.0,0.565196,0.3135178,0.03524615
-13.17,8.0219e-05,5.38156e-06,-25.86,-2.78,4.0,0.1718275,0.3978761,0.1496683
-12.62,7.82098e-06,2.68127e-06,-27.09,-4.99,4.0,0.3978761,0.1496683,0.05334899
-14.56,0.000477687,0.0795111,-20.55,-5.62,4.0,0.1739889,0.1823339,0.1036202
-18.57,0.00252553,0.00141724,-25.95,-6.34,4.0,0.1823339,0.1036202,0.1302822
-17.45,0.00654056,0.000446298,-24.95,-7.56,4.0,0.1036202,0.3690746,0.4521787
-20.27,0.00037021,9.19224e-07,-33.1,-4.96,4.0,0.2162885,0.2236171,0.2676616
-15.04,0.00186002,0.0494079,-20.51,-3.29,2.0,0.09717304,0.1953946,0.4942838
-19.77,0.00111719,0.000145401,-28.97,-5.8,4.0,0.2162885,0.2549956,0.5400391
-14.45,0.00216738,1.95826e-07,-27.15,-4.17,0.0,0.2086186,0.3798568,0.2611551
-23.95,1.90874e-06,8.58821e-07,-39.92,-7.59,0.0,0.4439026,0.05572797,0.1127287
-21.61,4.46408e-06,0.0103482,-31.55,-5.5,4.0,0.05572797,0.1400027,0.1266541
-18.55,0.00261283,0.00427684,-25.26,-2.18,0.0,0.1266541,0.2018245,0.04937283
-18.52,5.56759e-06,0.00284453,-29.09,-4.96,4.0,0.06643466,0.7149473,0.05402559
-13.35,6.0613e-06,9.42839e-06,-27.23,-4.97,0.0,0.05402559,0.1351752,0.06275478
-16.36,0.000194098,0.00457764,-24.56,-6.88,4.0,0.06275478,0.1600339,0.06777852
-12.56,3.15061e-05,1.94146e-06,-26.4,-5.74,2.0,0.8589863,0.06777852,0.2923662
